server01,eu-west-1,1718871685258,7
server01,eu-central-1,1718871693649,2
server04,eu-central-1,1718871709689,5
server01,eu-west-1,1718871733758,4
server03,eu-central-1,1718871910255,0
server01,eu-west-1,1718871918276,6
server02,eu-central-1,1718871926296,2
server01,us-west-2,1718871958394,4
server04,us-east-1,1718872014534,1
server04,us-west-2,1718872022554,9
server04,eu-central-1,1718872070681,3
server02,us-east-1,1718872182972,6
server03,us-east-1,1718872263180,9
server04,us-east-1,1718872271201,3
server01,eu-central-1,1718872351409,7
server04,us-east-1,1718872439628,3
server01,us-west-2,1718872535871,6
server03,eu-west-1,1718872576011,9
server04,eu-west-1,1718872584027,2
server02,us-west-2,1718872592045,2
server04,us-east-1,1718872600068,0
server03,us-east-1,1718872648186,9
server03,eu-west-1,1718872656212,8
server04,us-east-1,1718872696315,9
server02,us-west-2,1718872720374,0
server04,eu-central-1,1718872752453,5
server02,eu-west-1,1718872776531,2
server02,eu-central-1,1718872808613,2
server01,us-west-2,1718872864750,2
server01,us-west-2,1718872888812,9
server03,us-east-1,1718872944960,5
server04,us-west-2,1718872961000,8
server04,eu-central-1,1718873049228,5
server04,eu-west-1,1718873057248,9
server02,eu-central-1,1718873129428,1
server01,eu-central-1,1718873169527,3
server01,us-west-2,1718873185567,4
server04,us-east-1,1718873233686,9
server03,eu-central-1,1718873257748,2
server01,us-west-2,1718873265765,6
server02,us-east-1,1718873273786,3
server04,eu-central-1,1718873321907,2
server03,us-west-2,1718873329925,0
server03,eu-west-1,1718873370039,0
server02,eu-west-1,1718873466283,4
server03,us-east-1,1718873530444,3
server04,us-east-1,1718873578571,8
server02,eu-west-1,1718873594609,3
server03,eu-west-1,1718873626691,9
server03,eu-west-1,1718873642735,3
server02,us-west-2,1718873743987,4
server04,eu-central-1,1718873768047,4
server03,us-east-1,1718873816167,9
server02,us-west-2,1718873840236,6
server02,us-east-1,1718873848256,7
server04,us-west-2,1718873888355,6
server04,eu-west-1,1718874072821,3
server02,us-west-2,1718874080848,1
server03,us-west-2,1718874128985,9
server03,eu-central-1,1718874145031,1
server01,eu-west-1,1718874201200,1
server01,eu-west-1,1718874289449,4
server03,us-east-1,1718874345589,5
server02,eu-central-1,1718874353610,1
